             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
SH2D4A	0.36	0.45	1	0.53	0.91		0.63	0.74	0.82	0.51	0.83			0.82	0.64
SH3BGR	0.26	0.76	0.53	0.62	0.82		0.51	0.58	0.83	0.77	0.53			0.79	0.72
SH3BGRL	0.93	0.92	0.91	0.67	0.6		0.77	0.59	0.52	0.56	0.8			2.84	1.62
SH3BGRL2	0.22	0.37	0.65	0.92	0.52		0.59	0.91	0.62	0.72	0.45			0.98	0.94
SH3BGRL3	0.66	0.65	0.04	0.03	0.09		0.16	0.03	0.05	0.03	0.05			6.55	5.79
SH3BP1	0.51	0.43	0.57	0.34	0.38		0.31	0.19	0.16	0.37	0.13			1.83	1.71
SH3BP3	0.31	0.05	 	0.52	0.31		0.46	0.84	0.95	0.63	 				
SH3BP5	0.37	0.56	0.43	0.13	0.32		0.41	0.32	0.28	0.46	0.28			3.73	3.73
SH3GL2	0.25	0.32	0.84	0.74	0.33		0.83	0.32	0.58	0.7	 			0.37	0.61
SH3GL3	0.64	0.23	0.2	0.61	0.66		0.52	0.26	0.42	0.7	0.24			0.83	0.89
SH3GLB1	0.44	0.3	0.2	0.14	0.2		0.29	0.53	0.68	0.25	0.21			2.6	2.85
SH3GLB2	0.51	0.87	 	0.98	0.31		0.85	0.89		0.85	0.93				
SHANK1	0.28	0.3	0.14	0.61	0.4		0.61	0.55	0.12	0.58	0.14			0.86	0.91
SHANK2	0.06	0.26	0.56	0.09	0.17		0.15	0.18	0.48	0.28	0.17			1.7	1.62
SHB	0.02	0.46	 	0.47	0.26		0.87	0.78		0.61	 				
SHBG	0.46	0.66	0.47	0.78	0.6		0.04	0.67	0.58	0.67	0.51			0.98	0.95
SHC3	0.78	0.22	 	0.32	1		0.18	0.82	0.67	0.31	0.86			0.96	
SHFM1	0.88	0.99	0.75	0.8	0.61		0.97	0.66	0.46	0.38	0.85			3.26	3.03
SHH	0.26	0.41	1	0.79	0.23		0.81	0.68	0.89	0.79	0.92			1.09	
SHMT1	0.1	0.13	0.19	0.5	0.21		0.15	0.12	0.26	0.49	0.11			1.03	1.03
SHOC2	0.88	0.49	 	0.56	0.68		0.36	0.87	0.77	0.77	 				
ShrmL	0.19	0.47	0.73	0.74	0.2		0.63	0.66	0.39	0.83	0.45			0.74	0.72
SIAH2	0.46	0.54	0.51	0.56	0.29		0.97	0.83	0.48	0.68	0.55			1.14	1.14
SIAT10	0.36	0.29	0.17	0.25	0.23		0.04	0.15	0.29	0.22	0.16			2.14	2.13
SIAT7B	0.28	0.27	0.71	0.31	0.4		0.43	0.59	0.8	0.7	0.97			0.7	
SIAT7D	0.15	0.47	0.91	0.29	1		0.46	0.53	0.89	0.65	0.73			2.96	2.76
SIAT8A	0.64	0.54	0.24	0.59	0.53		0.51	0.56	0.35	0.38	0.11			1.21	1.06
SIAT8B	0.15	0.57	0.61	0.51	0.23		0.58	0.62	0.54	0.64	0.34			0.81	0.87
SIAT8C	0.99	1	0.97	0.98	0.58		0.93	0.97	0.71	0.94	0.96			0.57	0.56
SIAT8D	0.47	0.76	0.29	0.08	0.61		0.48	0.12	0.18	0	0.22			3.03	2.88
SIAT9	0.8	0.59	0.54	0.18	0.58		0.65	0.13	0.06	0.06	0.31			3.54	1.69
SIDT1	0.7	0.88	0.32	0.68	0.83		0.7	0.81	0.58	0.71	0.73			0.67	0.67
SIDT2	0.6	 	1	0.94	 		0.68	0.92		0.77	0.97				
SIGLEC10	0.14	0.08	0.83	0.56	0.51		0.71	0.36	0.69	0.63	0.25			1.01	0.96
SIGLEC6	0.62	0.13	0.31	0.11	1		0.62	0.2	0.57	0.24	1			0.62	0.15
SIGLEC8	0.5	0.18	0.38	0.11	0.25		0.11	0.53	0.16	0.16	0.1			2.3	1.81
SIGLECL1	0.17	0.14	0.26	0.09	0.62		0.2	0.51	0.28	0.1	0.34			3.4	2.59
SIL	0.67	0.31	0.34	0.5	0.51		0.47	0.3	0.4	0.48	0.4			1.92	1.96
SILV	0.65	0.8	0.58	0.83	0.9		0.92	0.95	0.67	0.7	0.76			2.1	1.47
SIM1	0.63		 	0.47	0.42		0.61	0.78		0.83	 				
SIM2	0.17	0.13	0.26	0.41	0.35		0.46	0.56	0.57	0.78	0.4			1	0.94
SIP	0.67	0.65	0.37	0.35	0.53		0.4	0.12	0.23	0.25	0.19			5.53	6.17
SIP1	0.7	0.69	0.87	0.47	0.91		0.92	0.68	0.8	0.65	0.94			2.79	1.76
SIPA1L1	0.09	0.09	0.08	0.28	0.43		0.22	0.11	0.29	0.44	0.08			1.03	0.96
SIRPB1	0.78	0.4	0.48	0.02	0.99		0.02	0.02	0.04	0.01	0.56			1.06	0.87
SIRPB2	0.72	0.43	0.27	0.16	0.54		0.7	0.1	0.66	0.4	0.6			0.73	0.63
SIRT1	0.53	0.16	0.57	0.04	0.3		0.03	0.01	0.02	0.02	0.24			2.49	2.24
SIRT2	0.65	0.16	 	0	0.94		0.76	0.97		0.02	0.93				2.83
SIRT5	0.39	0.16	 	0.96	0.26		0.92	0.85	0.98	0.76	0.94				
SIRT7	0.55	0.59	0.12	0.31	0.17		0.06	0.28	0.15	0.32	0.24			1.18	1.02
SIT	0.31	0.61	0.21	0.47	0.4		0.68	0.89	0.65	0.36	0.19			0.85	0.77
SIX1	0.63	0.64	0.49	0.77	0.12		0.6	0.2	0.48	0.6	0.76			1.05	1.1
SIX2		0.92	 	0.92	0.36		0.86			0.84	 				
SIX3	0.16	0.23	0.43	0.63	0.54		0.55	0.53	0.56	0.6	0.53			1.19	1.15
SIX4	0.57	0.02	0.65	0.16	0.51		0	0.19	0.76	0.31	0.38			1.54	1.38
SIX6	0.07	0.77	0.95	0.43	0.99		0.48	0.62	0.89	0.54	0.74			1.63	
SKB1	0.46	0.6	0.58	0.2	0.24		0.12	0.11	0.06	0.09	0.26			3.3	2.83
SKD3	0.17	0.05	0.05	0.23	0.12		0.26	0.15	0.22	0.36	0.09			1.42	1.56
SKIIP	0.99	0.97	 	0.76	0.21		0.71	0.88	0.75	0.58	0.97			1.15	1.81
SKIP	0.32	0.18	0.06	0.24	0.36		0.25	0.19	0.29	0.21	0.09			2.01	2.12
SKIV2L	0.41	0.35	0.42	0.41	0.27		0.03	0.24	0.26	0.26	0.43			2.81	3.32
SKP1A			 		0.22		0.73	1		0.72	 				
SKP2	0.73	0.35	0.15	0.2	0.28		0.53	0.66	0.25	0.25	0.27			3.26	2.61
SLA2	0.89	0.78	0.42	0.83	0.98		0.74	0.82	0.54	0.3	0.81			1.5	1.01
SLAMF1	0.65	0.79	0.52	0.55	0.5		0.62	0.2	0.08	0.16	0.36			1.16	1.16
SLAMF6	0.76	0.69	0.73	0.89	0.56		0.77	0.85	0.75	0.87	0.71			0.72	0.69
SLAMF7	1	1	1	0.91	0.65		0.7	0.92	0.32	0.44	0.96			0.85	0.94
SLAMF8	0.96	0.05	0	0.31	0.73		0	0	0.05	0	0.09			1.86	1.03
SLAMF9	0.44	0.77	0.51	0.53	0.81		0.47	0.64	0.61	0.7	0.58			0.83	0.84
SLC10A1	0.3	0.55	0.29	0.59	0.4		0.47	0.56	0.82	0.61	0.72			0.78	0.83
SLC10A2	0.44	0.84	0.96	0.9	0.97		0.79	0.47	0.71	0.83	0.82			0.62	0.63
SLC10A3	0.13	0.25	0.15	0.42	0.25		0.13	0.58	0.38	0.74	0.14			0.96	0.97
SLC11A1	0.07	0.19	0.71	0.31	0.29		0.24	0.26	0.15	0.39	0.17			0.88	0.91
SLC11A2	0.14	0.14	0.13	0.43	0.5		0.35	0.11	0.14	0.23	0.13			2.2	2.52
SLC12A1	0.98	0.93	0.99	0.98	1		0.99	1	0.76	0.96	1			0.6	0.48
SLC12A2	0.24	0.47	0.63	0.57	0.52		0.76	0.44	0.69	0.88	0.83			0.7	0.72
SLC12A3	0.08	0.05	0.11	0.29	0.86		0.29	0.2	0.83	0.69	0.21			0.81	0.86
SLC12A5	0.62	0.13	0.29	0.57	0.19		0.65	0.77	0.8	0.72	0.58			1.28	1.08
SLC12A6	0.1	0.19	0.22	0.6	0.19		0.13	0.27	0.36	0.48	0.12			1.07	1.09
SLC12A8		0.14	 	0.95	0.5		0.86			0.85	 				
SLC12A9	0.54	 	0.57	0.13	 		0.09	0.17	0.26	0.04	0.25			2.08	1.42
SLC13A1	0.83	0.93	1	0.9	0.52		0.88	0.41	0.91	0.89	0.85			0.67	0.67
SLC13A2	0.25	0.14	0.57	0.51	0.81		0.1	0.38	0.49	0.56	0.21			0.83	0.84
SLC13A3	0.72	0.92	0.5	0.57	0.58		0.7	0.02	0.56	0.84	0.67			0.87	0.99
SLC13A4	0.29	0.48	0.4	0.52	0.55		0.7	0.63	0.87	0.92	0.45			0.67	0.61
SLC14A1	0.34	0.73	0.91	0.8	0.25		0.74	0.47	0.59	0.74	0.75			0.64	0.65
SLC15A1	0.36	0.23	0.63	0.48	0.92		0.56	0.68	0.15	0.29	0.12			0.85	0.96
SLC15A2	0.31	0.66	0.1	0.74	0.34		0.56	0.56	0.66	0.83	0.35			0.92	1
SLC15A3	0.8	0.46	0.75	0.43	0.23		0.15	0.08	0.17	0.08	0.21			2.03	2.61
SLC16A1	0.24	0.56	0.28	0	0.28		0.1	0.16	0.05	0.01	0.23			5.03	5.18
SLC16A2	0.28	0.59	1	0.68	0.53		0.18	0.48	1	0.48	0.42			0.97	0.98
SLC16A4	0.45	0.5	0.4	0.85	0.21		0.73	0.96	0.76	0.74	0.81			1	0.92
SLC16A6	0.91		 	0.94	0.51		0.91	0.64			 				
SLC16A7	1	0.56	1	0.97	0.95		0.99	0.91	0.94	0.97	0.95			0.61	0.61
SLC16A8	0.08	0.33	0.31	0.23	0.35		0.38	0.63	0.4	0.55	0.61			0.89	0.85
SLC17A2	0.53	0.82	0.55	0.86	0.56		0.88	0.69	0.85	0.73	0.89			0.73	0.69
SLC17A4	0.56	0.83	0.98	0.94	0.52		0.76	0.9	0.82	0.9	0.95			0.49	0.5
SLC17A5	0.66	0.16	0.06	0.28	0.25		0.48	0.04	0.22	0.08	0.53			2.17	1.55
SLC17A6	0.38	0.99	0.79	0.64	0.99		0.42	0.6	0.83	0.65	0.7			0.63	0.65
SLC17A7	0.15	0.19	0.18	0.25	0.2		0.34	0.2	0.52	0.72	0.54			0.98	1.15
SLC18A1	0.74	0.39	0.96	0.88	0.39		0.67	0.62	0.62	0.84	0.7			0.6	0.6
SLC18A2	0.48	0.11	 	0.84	0.24		0.67	0.83		0.67	0.41				
SLC18A3	0.21	0.05	 	0.77	0.5		0.65	0.98		0.86	0.94				
SLC19A1	0.03	0.08	0.14	0.12	0.36		0.31	0.42	0.39	0.43	0.88			0.97	1.11
SLC19A3	0.28	0.87	0.38	0.45	0.51		0.48	0.36	0.83	0.63	0.44			0.79	0.78
SLC1A3	0.99	0.66	0.17	0	0		0.52	0.18	0	0	0			3.43	4.19
SLC1A4	0.66	0.36	0.28	0.21	0.31		0.28	0.54	0.1	0.06	0.12			4.26	3.97
SLC1A5	0.17	0.1	0.21	0.12	0.27		0.41	0.07	0.35	0.61	0.07			1.48	1.51
SLC1A6	0.22	0.44	0.32	0.49	0.31		0.67	0.58	0.38	0.7	0.33			0.94	1
SLC20A1	0.17	0.16	 	0.88			0.54	0.59	0.88	0.84	 			0.33	
SLC21A8	0.39	0.68	1	0.91	0.68		0.9	0.69	0.55	0.71	0.82			0.73	0.79
SLC22A1	0.2	0.44	0.48	0.7	0.92		0.25	0.61	0.63	0.72	0.25			1.25	1.41
SLC22A11	0.85	0.92	0.35	0.89	0.19		0.9	0.93	0.62	0.82	0.78			0.72	0.69
SLC22A13	0.31	0.43	0.25	0.4	0.34		0.48	0.27	0.74	0.78	0.8			0.88	0.94
SLC22A14	0.54	0.76	0.6	0.77	0.84		0.36	0.82	0.71	0.75	0.8			0.93	0.81
SLC22A16	0.25	 	0.27	0.08	 		0.49	0.23	0.28	0.57	0.06			1.08	0.94
SLC22A1LS	0.47	0.35	0.44	0.44	0.2		0.52	0.58	0.33	0.48	0.32			2.35	1.43
SLC22A2	0.47	0.56	0.3	0.67	0.3		0.42	0.81	0.83	0.86	0.76			0.63	0.6
SLC22A3	0.03	0.11	0.39	0.34	0.21		0.19	0.51	0.58	0.63	0.38			0.57	0.87
SLC22A4	0.58	0.83	0.31	0.29	0.43		0.85	0.28	0.17	0.21	0.38			3.17	3.02
SLC22A5	0.12	0.59	0.65	0.01	0.36		0.08	0.55	0.82	0.02	0.96			2.61	3.13
SLC22A6	0.6	0.48	 	0.99	0.96		0.74	0.94		0.83	 				
SLC22A7	0.25	0.65	0.09	1	0.39		0.5	0.69	0.84	0.79	0.38			0.74	0.73
SLC22A8	0.17	0.09	0.72	0.6	0.93		0.62	0.29	0.38	0.6	0.12			0.82	0.85
SLC24A1	0.4	0.47	0.28	0.52	0.44		0.81	0.57	0.48	0.67	0.63			0.77	0.76
SLC24A2	0.66	0.86	0.76	0.32	0.38		0.6	0.17	0.87	0.75	0.77			1.63	1.66
SLC24A6	0.24	0.35	 	0.25	0.95		0.72	0.57		0.68	 				
SLC25A12	0.53	0.39	0.09	0.12	0.09		0	0	0	0	0.07			3.29	3.46
SLC25A13	0.19		 	0.48	0.3		0.65	0.89	0.85	0.69	 				
SLC25A14	0.47	0.56	0.35	0.38	0.41		0.6	0.51	0.45	0.29	0.53			1.86	1.75
SLC25A15	0.41	0.22	0.11	0.33	0.33		0.56	0.14	0.5	0.75	0.29			1	0.91
SLC25A16	0.04	0.07	0.3	0.44	0.19		0.25	0.15	0.14	0.43	0.07			1.63	1.62
SLC25A17	0.21	0.57	 	0.79	0.55		0.41	0.73	0.85	0.66	0.85			1.51	0.95
SLC25A18	0.82	0.73	0.47	0.25	0.63		0.42	0.54	0.38	0.33	0.41			0.78	0.69
SLC25A19	0.99	0.86	0.31	0.29	0.55		0.83	0.64	0.43	0.29	0.73			3.92	3.58
SLC25A2	0.22	0.14	0.52	0.2	0.11		0.21	0.19	0.31	0.61	0.2			0.91	0.96
SLC25A21	0.47	0.46	0.76	0.82	0.97		0.89	0.59	0.94	0.93	0.99			0.63	0.58
SLC25A27	0.5	0.79	0.87	0.79	0.99		0.9	0.84	0.9	0.84	0.89				0.89
SLC25A28	0.62	0.67	0.95	0.3	0.52		0.66	0.39	0.68	0.25	0.95			3.03	2.89
SLC25A3	0.91	1	0.94	0.54	1		0.97	0.91	0.4	0.32	0.83			5.63	5.17
SLC25A4	0.15	0.05	0.46	0.07	0.34		0.24	0.02	0.26	0.05	0.22			0.88	0.87
SLC25A5	0.36	0.56	0.95	0.94	0.55		0.92	0.72	0.9	0.41	0.73			2.68	2.66
SLC26A1	0.17	0.53	0.3	0.36	0.33		0.36	0.49	0.41	0.69	0.26			1.71	1.54
SLC26A10	0.2	0.65	0.26	0.76	0.58		0.75	0.6	0.7	0.62	0.44			1	0.98
SLC26A3	0.28	0.04	0.07	0.18	0.53		0.45	0.07	0.35	0.55	0.09			0.97	1
SLC26A4	0.2	0.17	0.73	0.77	0.32		0.19	0.84	0.7	0.82	0.57			0.77	0.68
SLC26A6	0.6	0.42	0.08	0.09	0.53		0.39	0.42	0.37	0.18	0.84			4.66	3.2
SLC26A8	0.27	0.38	0.61	0.53	0.39		0.39	0.64	0.37	0.44	0.6			0.98	0.97
SLC26A9	0.1	0.25	0.62	0.53	0.57		0.39	0.49	0.48	0.44	0.27			0.77	0.84
SLC27A2	0.29	 	0.3	0.5	 		0.01	0.59	0.65	0.43	0.61			1.06	0.92
SLC27A3	0.58	 	0.3	0.17	 		0.51	0.13	0.33	0.32	0.16			3.1	2.33
SLC27A6	0.17	0.5	0.7	0.82	0.94		0.48	0.35	0.75	0.68	0.67				0.75
SLC28A2	0.24	0.3	0.43	0.54			0.52	0.84	0.8	0.88	0.38			0.82	0.92
SLC28A3	0.72	0.8	 	0.96	0.94		0.72	0.57		0.6	 			0.9	0.96
SLC29A1	0.54	0.39	0.21	0.28	0.15		0.71	0.48	0.56	0.6	0.23			1	1.14
SLC29A2	0.14	0.19	0.53	0.6	0.36		0.55	0.55	0.62	0.48	0.61			1.42	1.41
SLC29A3	0.53	 	0.28	0.63	 		0.93	0.81	0.74	0.82	0.65			1.98	1.62
SLC2A1	0.64	0.34	0.61	0.42	0.76		0.39	0.19	0.29	0.18	0.64			2.89	2.67
SLC2A10	0.02	0.28	0.32	0.07	0.23		0.13	0.01	0.39	0.26	0.25			1.04	1.08
SLC2A11	0.63	0.73	0.72	0.61	0.51		0.74	0.48	0.4	0.62	0.56			1.38	1.05
SLC2A13	0.28	0.43	0.59	0.09	0.54		0.67	0.7	0.71	0.5	0.68			1.09	1.02
SLC2A4	0.83	0.84	0.38	0.42	0.42		0.36	0.29	0.61	0.13	0.29			1.04	1.22
SLC2A4RG	0.52	0.23	0.31	0.57	0.71		0.87	0.49	0.8	0.52	0.93			1.03	1.07
SLC2A6	0.55	0.61	0.51	0.44	0.21		0.27	0.45	0.39	0.25	0.26			1.42	2.38
SLC2A8	0.25	0.46	0.23	0.27	0.26		0.78	0.63	0.77	0.57	0.38			1.07	1.08
SLC30A1	0.13	0.05	0.34	0.3	0.5		0.07	0.11	0.75	0.62	0.21			0.98	0.95
SLC30A2	0.21	0.67	0.79	0.63	0.41		0.82	0.61	0.66	0.89	0.65			0.87	1.02
SLC30A4	0.97	0.83	 	0.7	0.44		0.56	0.6		0.74	 				0.31
SLC30A5	0.2	 	0.06	0.14	 		0.4	0.21	0.13	0.18	0.17			1.45	1.67
SLC30A7	0.4	0.24	0.25	0	0.17		0.01	0.06	0	0	0.13			4.21	4.12
SLC30A9	0.97	0.6	0.83	0.82	0.51		0.76	0.94	0.36	0.25	0.69			4.01	3.5
SLC31A1	0.21	0.75	0.21	0.24	0.41		0.07	0.08	0.09	0.07	0.35			2.92	2.79
SLC31A2	0.34	0.62	0.74	0.26	0.34		0.89	0.57	0.5	0.35	0.44			1.47	1.64
SLC34A1	0.34	0.19	0.44	0.86	0.36		0.39	0.71	0.21	0.49	0.2			0.89	1
SLC34A2	0.38	0.61	0.42	0.65	0.39		0.53	0.49	0.66	0.84	0.58			0.62	0.66
SLC35A1	0.33	0.67	0.37	0.11	0.25		0.01	0.31	0.12	0.03	0.22			1.98	1.67
SLC35A2	0.28	0.16	0.5	0.62	0.32		0.1	0.12	0.02	0.02	0.14			3.47	4.11
SLC35A3	0.72	0.41	0.72	0.34	0.59		0.17	0.71	0.26	0.21	0.22			2.25	1.51
SLC35A5	0.58	0.66	0.18	0.12	0.94		0.18	0.53	0.04	0.03	0.19			4.94	4.86
SLC35B1	0.35	0.5	0.21	0.02	0.67		0.27	0.59	0.02	0.04	0.29			3.42	3.48
SLC35B3	0.2	 	0.28	0.35	 		0.48	0.62	0.12	0.08	0.29			3.57	3.24
SLC35B4	0.94	 	0.8	0.65	 		0.82	0.99	0.4	0.24	0.83			2.16	1.47
SLC35C2	0.6	0.62	0.19	0.16	0.24		0.46	0.47	0.27	0.33	0.34			2.74	2.62
SLC35D1	0.36	0.53	0.42	0.46	0.35		0.82	0.72	0.38	0.19	0.62			2.59	2.28
SLC35E1	0.78	0.21	0.85	0.66	0.71		0.23	0.72		0.6	 			3.81	
SLC35E3	0.86	0.65	0.88	0.51	0.63		0.66	0.6	0.2	0.53	0.83			4.01	3.26
SLC35F2	0.16	0.08	0.1	0.4	0.16		0.21	0.27	0.39	0.41	0.13			1.22	1.57
SLC35F5	0.74	0.88	0.56	0.47	0.21		0.19	0.09	0.47	0.3	0.55			2.23	2.17
SLC36A1	0.06	 	0.95	0.43	 		0.4	0.44	0.73	0.71	0.55			0.62	0.61
SLC37A3	0.44	0.24	0.53	0.57	0.22		0.5	0.88	0.22	0.63	0.24			0.98	0.98
SLC38A1	0.18	0.78	0.22	0.09	0.51		0.11	0.2	0.16	0.18	0.27			2.47	2.01
SLC38A2	0.71	0.69	0.33	0.41	0.4		0.65	0.68	0.57	0.15	0.37			2.64	2.47
SLC38A3	0.01	0.39	0.09	0.09	0.4		0.29	0.54	0.83	0.49	0.51			0.8	0.7
SLC38A4			1	0.78	0.98		0.85	0.42	1	0.69	 				
SLC38A5	0.07	0.07	0.38	0.76	0.9		0.07	0.47	0.33	0.6	0.75			0.95	0.91
SLC39A2	0.52	0.2	0.69	0.82	0.52		0.46	0.81	0.84	0.5	0.44			1	0.91
SLC39A4	0.27	0.23	0.06	0.5	0.64		0.17	0.05	0.29	0.55	0.14			0.99	0.97
SLC39A6	0.66	0.31	0.33	0	0.04		0	0.01	0	0	0			4.38	4.08
SLC39A7	0.64	0.29	0.35	0.12	0.29		0.35	0.76	0.16	0.05	0.55			4.87	4.64
SLC39A9	0.73	0.32	0.39	0.28	0.59		0.37	0.59	0.1	0.05	0.35			4.67	4.69
SLC3A1	0.13	0.03	0.03	0.16	0.19		0.23	0.19	0.2	0.49	0.07			1	1.02
SLC40A1	0.55	0.79	0.98	0.76	0.95		0.84	0.88	0.62	0.56	 			0.79	
SLC41A2	0.99	1	1	0.92	1		0.99	0.95	0.98	0.94	0.99			0.54	0.68
SLC43A1	0.66	0.47	0.67	0.46	0.8		0.78	0.77	0.29	0.5	0.41			1.59	1.26
SLC4A1	0.08	0.19	0.3	0.11	0.21		0.47	0.17	0.34	0.32	0.17			0.99	0.99
SLC4A10	0.62	0.99	0.65	0.87	0.25		0.91	0.69	0.76	0.84	0.84			0.53	0.54
SLC4A11	0.35	0.56	0.31	0.59	0.5		0.54	0.64	0.38	0.57	0.61			0.91	0.86
SLC4A1AP	0.21	0.23	0.25	0.45	0.5		0.21	0.32	0.29	0.47	0.27			1.81	1.9
SLC4A2	0.04	0.17	0.98	0.31	0.54		0.05	0.12	0.85	0.36	0.64			0.83	0.9
SLC4A3	0.14	0.53	 	0.86			0.66	0.85	0.7	0.87	0.77				0.71
SLC4A5	0.66	0.22	0.95	0.63	0.39		0.82	0.39	0.75	0.77	0.57			0.63	0.69
SLC4A7	0.86	0.99	0.9	0.88	0.98		0.91	0.92	0.93	0.74	0.99			0.95	0.99
SLC4A8	0.13	0.9	0.53	0.44	0.37		0.62	0.62	0.66	0.42	0.43			1.24	1.19
SLC5A1	0.41	0.44	0.36	0.32	0.35		0.58	0.3	0.61	0.63	0.36			0.78	0.8
SLC5A11	0.38	0.17	0.22	0.46	0.32		0.28	0.24	0.33	0.77	0.16			1.01	1.01
SLC5A2	0.09	0.4	0.25	0.67	0.8		0.53	0.74	0.73	0.74	0.45			0.98	0.85
SLC5A3	0.52	0.68	0.63	0.81	0.51		0.96	0.65	0.74	0.79	0.67			2.43	2.73
SLC5A4	0.17	0.27	0.59	0.1	0.14		0.29	0	0.55	0.4	0.26			0.71	0.72
SLC5A5	0.9	0.99	0.77	0.83	0.33		0.96	0.91	0.48	0.92	0.63			0.82	0.89
SLC5A6	0.31	0.39	0.25	0.1	0.53		0.15	0.31	0.05	0.01	0.31			4.55	4.64
SLC6A1	0.19	0.24	0.13	0.66	0.2		0.31	0.09	0.37	0.62	0.12			0.99	0.99
SLC6A11	0.49	0.61	0.38	0.83	0.29		0.95	0.8	0.92	0.69	0.8			0.81	0.92
SLC6A14	0.34	0.1	0.92	0.92	0.73		0.96	0.91	0.85	0.9	0.9			0.76	0.67
SLC6A16	0.28	0.07	0.08	0.53	0.18		0.47	0.12	0.54	0.67	0.14			0.92	0.98
SLC6A2	0.17	0.64	0.45	0.66	0.74		0.39	0.77	0.33	0.45	0.31			1.01	1.01
SLC6A20	0.83	0.17	0.26	0.28	0.27		0.56	0.62	0.79	0.53	0.46			0.91	0.94
SLC6A3	0.02	0.9	0.99	0.76	0.57		0.44	0.21	0.79	0.77	0.83			0.95	0.85
SLC6A4	0.54	0.44	0.58	0.89	1		0.93	0.84	0.63	0.87	0.53			0.56	0.56
SLC6A5	0.19	0.3	0.5	0.5	0.26		0.29	0.22	0.41	0.65	0.32			0.79	0.8
SLC6A7	0.24	0.43	0.33	0.39	0.41		0.59	0.36	0.41	0.42	0.55			0.97	0.98
SLC6A8	0.23	0.2	0.97	0.47	0.22		0.57	0.52	0.91	0.72	 			1.02	0.77
SLC6A9	0.43	0.43	0.98	0.11	0.19		0.2	0.26	0.9	0.24	 			1.61	
SLC7A1	0.39	0	1	0.12	1		0.23		0.85	0.44	0.98			0.64	0.92
SLC7A10	0.33	0.72	1	0.76			0.84	0.72		0.82	 				
SLC7A11	0.58	0.54	0.32	0.28	0.34		0.31	0.13	0.15	0.16	0.67			3.35	3.91
SLC7A3	0.64	0.66	0.36	0.52	0.21		0.46	0.35	0.22	0.38	0.21			0.88	0.87
SLC7A5	0.26	0.51	0.71	0.8	0.91		0.52	0.35	0.62	0.86	0.46			0.86	0.84
SLC7A8	0.1	0.11	0.13	0.25	0.19		0.19	0.33	0.41	0.56	0.15			1.77	1.76
SLC8A3	0.16	0.51	0.67	0.39	0.36		0.66	0.62	0.24	0.36	0.3			1.45	1.2
SLC9A2	0.62	0.13	 	0.75	0.89		0.77	0.46		0.89	 				0.54
SLC9A3R1	0.19	0.98	 	0.98	0.44		0.6	0.62		0.88	0.68				
SLC9A5	0.32	0.8	0.21	0.66	0.32		0.56	0.34	0.56	0.49	0.43			1	1.12
SLC9A6	0.57	0.53	0.78	0.6	0.56		0.54	0.52	0.46	0.27	0.53			2.36	1.98
SLC9A7	0.37	0.67	0.85	0.63	1		0.43	0.5	0.78	0.79	0.58			0.66	0.71
SLCO1A2	0.91	0.94	0.98	0.94	0.59		0.88	0.91	0.63	0.83	0.81			0.6	0.55
SLCO1C1	0.52	0.7	0.82	0.93	0.91		0.99	0.76	0.98	0.92	0.98			0.65	0.61
SLCO5A1	0.03	0.13	0.68	0.79	0.29		0.45	0.25	0.69	0.78	0.48			0.95	0.92
SLIT1	0.65	0.68	0.88	0.76	0.91		0.54	0.6	0.79	0.82	0.62			0.87	0.79
SLIT2	0.13	0.56	0.33	0.6	0.93		0.43	0.96	0.67	0.49	0.46			1.06	0.91
SLITRK3	0.51	0.28	0.34	0.32	0.98		0.14	0.25	0.67	0.64	 				
SLK	0.57	0.36	0.52	0.59	0.97		0.2	0.29	0.73	0.58	0.53			1.01	0.75
SLMAP	0.12	0.07	0.46	0.2	0.13		0.28	0.1	0.25	0.62	0.17			1	0.96
SLN	0.85	0.96	0.6	0.88	0.71		0.98	0.85	0.81	0.79	0.89			0.87	0.93
SLPI	0.84	0.57	0.36	0.55	0.51		0.51	0.35	0.21	0.46	0.61			0.57	0.65
SLU7	0.71	0.83	0.32	0.57	0.69		0.74	0.86	0.28	0.2	0.59			4.44	4.15
SMA3	0.74	0.43	0.33	0.61	0.64		0.61	0.41	0.71	0.67	0.56			1.5	1.33
SMAD1	0.17	0.33	0.62	0.48	0.23		0.57	0.16	0.17	0.35	0.19			1.17	1.26
SMAD3	0.08	0.41	0.81	0.24	1		0.09	0.2	0.94	0.58	 				0.93
SMAD4	0.92	0.73	1	0.21	0.94		0.86	0.89	1	0.28	0.46			5.19	5.66
SMAD6	0.37	0.27	0.2	0.24	0.22		0.12	0.46	0.84	0.41	0.59			1.51	1.59
SMAD7	0.73	0.6	 	0.92	0.65		0.83	0.8		0.84	 				0.53
SMAD9	0.66	0.82	 	0.67	0.52		0.64	0.51	0.91	0.87	 				
SMAP1	0.77	0.95	0.74	0.32	0.29		1	0.73	0.55	0.11	0.84			3.63	3.01
SMARCA3	0.61	0.83	0.33	0.61	0.62		0.45	0.9	0.56	0.11	0.46			2.23	1.7
